,accuracy,accuracy,ece_adaptive,ece_adaptive,mce,mce,brier,brier,nll,nll
,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,
lightgbm,0.7692,0.0492,0.0518,0.0115,0.1001,0.0184,0.3174,0.0574,0.4852,0.0742
mlp,0.759,0.0464,0.0254,0.0074,0.0567,0.0221,0.3241,0.0558,0.486,0.0742
tabpfn,0.7823,0.0462,0.0258,0.0063,0.0629,0.0209,0.2978,0.0557,0.4521,0.0746
tabpfn_temp,0.7823,0.0462,0.0245,0.0056,0.0539,0.018,0.2974,0.0555,0.4509,0.0744
xgboost,0.763,0.0515,0.0749,0.0185,0.1354,0.0221,0.3333,0.0637,0.5163,0.0843
